0.100000,0.100000,0.100000,0.000000,0.000000,0.200000,-1.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.098782,0.100058,0.098914,0.000006,0.007251,0.193367,-1.600618,0.000002,0.031688,-0.033815,0.011937,-0.014065,0.000000
0.097574,0.100107,0.097837,0.000015,0.014684,0.186128,-1.600830,0.000006,0.062954,-0.067459,0.023632,-0.028137,0.000000
0.096377,0.100146,0.096768,0.000026,0.022386,0.178018,-1.600477,0.000014,0.093768,-0.101002,0.035041,-0.042275,0.000000
0.095190,0.100171,0.095706,0.000041,0.030450,0.168758,-1.599390,0.000027,0.124081,-0.134528,0.046106,-0.056553,0.000000
0.094011,0.100179,0.094651,0.000058,0.038974,0.158050,-1.597386,0.000046,0.153822,-0.168144,0.056744,-0.071066,0.000000
0.092841,0.100163,0.093602,0.000079,0.048061,0.145573,-1.594265,0.000074,0.182881,-0.201990,0.066836,-0.085945,0.000000
0.091679,0.100115,0.092556,0.000103,0.057820,0.130986,-1.589806,0.000111,0.211093,-0.236257,0.076211,-0.101374,0.000000
0.090525,0.100023,0.091514,0.000130,0.068340,0.113950,-1.583778,0.000158,0.238203,-0.271225,0.084604,-0.117626,0.000000
0.089377,0.099867,0.090472,0.000162,0.079645,0.094225,-1.575976,0.000216,0.263812,-0.307317,0.091610,-0.135115,0.000000
0.088236,0.099617,0.089428,0.000197,0.091552,0.071942,-1.566358,0.000287,0.287298,-0.345175,0.096601,-0.154477,0.000000
0.087102,0.099232,0.088378,0.000236,0.103347,0.048278,-1.555401,0.000370,0.307777,-0.385695,0.098689,-0.176607,0.000000
0.085973,0.098668,0.087319,0.000279,0.113365,0.026460,-1.544675,0.000467,0.324363,-0.429778,0.096983,-0.202399,0.000000
0.084851,0.097922,0.086251,0.000325,0.119476,0.011001,-1.536574,0.000578,0.336975,-0.477511,0.091402,-0.231938,0.000000
0.083735,0.097038,0.085177,0.000376,0.121201,0.003211,-1.531945,0.000703,0.346537,-0.527974,0.082867,-0.264305,0.000000
0.082624,0.096050,0.084100,0.000430,0.119927,0.000331,-1.529429,0.000843,0.353772,-0.580452,0.072099,-0.298780,0.000000
0.081519,0.094966,0.083022,0.000487,0.116980,-0.000452,-1.527549,0.000998,0.358876,-0.634753,0.059294,-0.335171,0.000000
0.080420,0.093789,0.081943,0.000549,0.113028,-0.000585,-1.525537,0.001169,0.361897,-0.690839,0.044495,-0.373437,0.000000
0.079326,0.092522,0.080863,0.000614,0.108309,-0.000584,-1.523121,0.001354,0.362894,-0.748651,0.027763,-0.413520,0.000000
0.078238,0.091170,0.079782,0.000683,0.102886,-0.000571,-1.520251,0.001555,0.361979,-0.808083,0.009207,-0.455310,0.000000
0.077155,0.089741,0.078702,0.000756,0.096784,-0.000557,-1.516949,0.001772,0.359332,-0.868957,-0.010994,-0.498631,0.000000
0.076078,0.088247,0.077623,0.000832,0.090038,-0.000544,-1.513254,0.002003,0.355211,-0.931015,-0.032581,-0.543223,0.000000
0.075006,0.086706,0.076547,0.000913,0.082700,-0.000532,-1.509224,0.002250,0.349974,-0.993902,-0.055197,-0.588730,0.000000
0.073939,0.085139,0.075476,0.000998,0.074839,-0.000521,-1.504935,0.002512,0.344085,-1.057153,-0.078379,-0.634689,0.000000
0.072878,0.083574,0.074412,0.001087,0.066549,-0.000512,-1.500482,0.002788,0.338125,-1.120188,-0.101545,-0.680518,0.000000
